millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
10389946.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,321914.0,1603216234.25
10390945.0,3.75,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,322015.0,1603216235.25
10391945.0,3.75,12.4,0.618,0.415,15.0,74.0,1.0,0.0,0.0,56.0,51.0,322116.0,1603216236.25
10392946.0,3.76,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,322217.0,1603216237.25
10393946.0,3.75,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,322318.0,1603216238.25
10394945.0,3.75,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,322419.0,1603216239.25
10395947.0,3.75,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,322520.0,1603216240.25
10396946.0,3.76,12.4,0.624,0.409,17.0,74.0,1.0,0.0,0.0,56.0,51.0,322621.0,1603216241.25
10397945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,322722.0,1603216242.25
10398945.0,3.76,12.4,0.624,0.409,17.0,74.0,1.0,0.0,0.0,56.0,51.0,322823.0,1603216243.25
10399946.0,3.75,12.4,0.624,0.409,14.0,73.0,2.0,0.0,0.0,56.0,51.0,322924.0,1603216244.25
10400946.0,3.76,12.4,0.624,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,323025.0,1603216245.25
10401945.0,3.75,12.4,0.621,0.406,12.0,74.0,1.0,0.0,0.0,56.0,51.0,323126.0,1603216246.25
10402947.0,3.76,12.4,0.621,0.406,16.0,74.0,1.0,0.0,0.0,56.0,51.0,323227.0,1603216247.26
10403946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,323328.0,1603216248.25
10404945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,323429.0,1603216249.25
10405945.0,3.76,12.4,0.621,0.409,17.0,74.0,1.0,0.0,0.0,56.0,51.0,323530.0,1603216250.25
10406946.0,3.76,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,323631.0,1603216251.25
10407946.0,3.75,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,323732.0,1603216252.25
10408945.0,3.7,12.4,0.624,0.418,12.0,74.0,1.0,0.0,0.0,56.0,51.0,323833.0,1603216253.25
